,okz_subgroup,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
0,11,45725.35534538085,5921,4554,15098,8320,20964.709857134334,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
1,12,34890.07052520639,56930,42550,112998,56983,17803.362154310224,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
2,13,47858.19629466255,15869,11986,33080,17718,22522.632893284026,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
3,14,40281.60580645161,3100,2640,7511,3323,17649.747056556833,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
4,21,39191.63238877158,67721,47784,79947,45305,19383.972069211733,2,Специалисты высшего уровня квалификаций
5,22,30120.07456279091,22129,17414,107803,54659,15935.343453898377,2,Специалисты высшего уровня квалификаций
6,23,25499.297079919572,33321,25902,72198,46405,12245.177346728817,2,Специалисты высшего уровня квалификаций
7,24,29397.56662831254,55622,42687,27292,17918,15244.021805539156,2,Специалисты высшего уровня квалификаций
8,25,36077.49071983948,7974,6175,9896,5723,21077.032398460466,2,Специалисты высшего уровня квалификаций
9,26,32231.301479371497,65298,47711,32490,22392,13893.129192180442,2,Специалисты высшего уровня квалификаций
10,31,36053.23719716187,27201,20150,85497,28295,18211.76557725571,3,Специалисты среднего уровня квалификации
11,32,25973.103820598008,2408,1894,3656,1772,12921.71216084082,3,Специалисты среднего уровня квалификации
12,33,27911.50414485999,26177,20763,48661,13668,14613.517698845553,3,Специалисты среднего уровня квалификации
13,34,25276.476856225203,26465,22576,65540,30560,12344.016069536767,3,Специалисты среднего уровня квалификации
14,35,26668.672196416723,1507,1129,349,291,13619.318239380866,3,Специалисты среднего уровня квалификации
15,41,23936.512857781752,8944,6320,6711,4494,12181.290414533581,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
16,42,23978.252622527943,5815,4335,28373,9806,11241.726307284447,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
17,43,26448.530708661416,635,412,2129,1120,14316.696340299977,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
18,44,21738.49552238806,670,442,608,417,10869.321836318646,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
19,51,27563.661138701667,11276,9557,59032,18301,11448.995497604035,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
20,52,23266.254238314363,33032,29017,57609,17560,12437.852448861817,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
21,53,21585.68808347062,3642,3012,6772,3352,9709.364309632425,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
22,54,24136.606701861132,22352,17447,73948,13739,11764.245533144782,5,"Работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности"
23,61,20936.53724928367,3490,2471,52503,7784,12535.533610443583,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
24,62,31945.223034734918,547,436,7340,1346,17719.326259420497,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
25,71,33088.309304113805,20808,15828,296510,60915,16674.30092405991,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
26,72,34770.115742944574,14705,11510,122097,38545,18935.47492460331,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
27,73,30521.099388379203,1308,1075,6957,2437,14151.896823236639,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
28,74,35720.72051886792,3392,2621,25652,7200,17537.599990939187,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
29,75,25942.526676109537,12708,10815,99251,19367,14085.78504238333,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
30,81,32618.982895921334,14441,10953,123148,25668,16201.62456764699,8,Неквалифицированные рабочие
31,82,31202.730877192982,2850,2178,31789,9277,17326.925685273123,8,Неквалифицированные рабочие
32,83,34935.3123407136,50224,41146,240916,62288,18528.056564301565,8,Неквалифицированные рабочие
33,91,18326.039476704154,13071,9538,140948,53487,10173.670128238775,9,Неопределённая ОКЗ
34,92,18001.25,4,3,63,19,11401.543859649124,9,Неопределённая ОКЗ
35,93,22593.246992251225,19616,15143,178291,37185,12467.506660820147,9,Неопределённая ОКЗ
36,96,22791.17628205128,936,718,10113,978,11605.690684709798,9,Неопределённая ОКЗ
