,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,okpdtr_name,okz,okz_subgroup,description
0,100035.0,57888.77777777778,9,6,34,3,44233.88888888888,2623,Авербандщик,7318,73,Рабочие выполняющие прецизионные работы по металлу
1,100054.0,43543.48275862069,116,88,218,35,51567.44761904761,2624,Авиационный механик (техник) по планеру и двигателям,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
2,100073.0,36097.560975609755,41,29,90,27,56805.395061728406,2625,Авиационный механик (техник) по приборам и электрооборудованию,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
3,100088.0,43933.333333333336,15,11,24,11,64626.121212121216,2626,Авиационный механик (техник) по радиооборудованию,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
4,100105.0,52500.0,2,2,42,6,53157.99999999999,2627,Авиационный техник (механик) по парашютным и аварийно-спасательным средствам,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
5,100124.0,43230.807692307695,26,18,53,27,55223.9803887624,2628,Авиационный техник по горюче-смазочным материалам,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
6,100158.0,35000.0,3,3,4,4,46019.03429081288,2631,Автоклавщик,8181,81,Операторы аппаратчики и машинисты промышленных уст
7,100213.0,39173.913043478264,23,19,69,26,49430.68212493432,2636,Автоматчик,3122,31,Техники и операторы по обслуживанию компьютерных у
8,100270.0,30000.0,3,3,7,2,51090.0,2639,Автоматчик картонажного производства,8171,81,Операторы автоматических сборочных линий управляют
9,100389.0,20000.0,3,2,191,18,51819.666666666664,2644,Автоматчик холодновысадочных автоматов,3122,31,Техники и операторы по обслуживанию компьютерных у
10,100410.0,27333.333333333332,3,2,38,13,52547.97435897436,2646,Агломератчик,8112,81,Операторы аппаратчики и машинисты установок по обр
11,100478.0,30703.373134328358,67,55,495,306,47775.92073471597,2649,Аккумуляторщик,7127,71,Строители-монтажники и рабочие родственных професс
12,100586.0,80000.0,1,1,19,7,57273.238095238106,2656,Анодчик в производстве алюминия,3135,31,Техники и операторы оптического и электронного обо
13,100603.0,40000.0,2,1,76,43,50058.17054263567,2657,Антенщик-мачтовик,7413,74,Дегустаторы продуктов питания и напитков и определ
14,100622.0,41428.57142857143,14,9,998,45,64228.79716470097,2658,Антикоррозийщик,8122,81,"Аппаратчики плавильщики, литейщики и прокатчики ве"
15,100656.0,27910.236328125,512,353,2960,577,48832.995649300145,2660,Аппаратчик,8122,81,"Аппаратчики плавильщики, литейщики и прокатчики ве"
16,100694.0,34288.28571428572,7,6,13,9,51572.07407407407,2662,Аппаратчик абсорбции,3133,31,Техники по обслуживанию медицинского оборудования
17,100834.0,25333.333333333332,3,3,63,19,47832.1403508772,2667,Аппаратчик аппретирования,8154,81,Аппаратчики (операторы) перегонных аппаратов и реа
18,100923.0,15000.0,1,1,5,4,47339.41666666667,2672,Аппаратчик бельевых сушильных установок,8157,81,Аппаратчики операторы и машинисты установок по пер
19,101184.0,28666.666666666668,3,2,53,17,45964.39215686274,2683,Аппаратчик водно-химической обработки,8155,81,Операторы нефтеочистительных установок управляют о
20,101220.0,35312.625,16,10,52,39,49464.29914529914,2685,Аппаратчик воздухоразделения,8183,81,Операторы аппаратчики и машинисты промышленных уст
21,101748.0,67000.0,5,2,1,1,45672.0,2712,Аппаратчик газоразделения,3133,31,Техники по обслуживанию медицинского оборудования
22,101875.0,27497.5,2,1,5,2,52875.0,2720,Аппаратчик-гидрометаллург,3135,31,Техники и операторы оптического и электронного обо
23,101983.0,45000.0,1,1,7,5,50596.86666666666,2725,Аппаратчик гранулирования,8160,81,Операторы аппаратчики и машинисты установок электр
24,102219.0,27000.0,5,3,11,4,52949.833333333336,2737,Аппаратчик диспергирования пигментов и красителей,8131,81,Операторы печей отжига стекла и стеклоизделий и об
25,102261.0,30000.0,2,1,1,1,52087.0,2740,Аппаратчик диффузии,8160,81,Операторы аппаратчики и машинисты установок электр
26,102280.0,37500.0,6,4,47,22,52520.72727272727,2741,Аппаратчик дозирования,3133,31,Техники по обслуживанию медицинского оборудования
