,okpdtr,year,cv_count,count_candidate,work_places,vacancy_count,cv_avg_salary,vac_avg_salary,id,name,okz,okz_subgroup,description
0,225245,2016,15,10,341,178,31666.66,69852.19,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
1,225245,2017,140,65,345,198,58607.14,71990.57,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
2,225245,2018,65,35,371,207,91153.84,73272.56,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
3,225245,2019,5,5,401,218,50000.0,76452.95,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
4,225245,2020,30,30,421,224,41000.0,80451.47,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
5,225245,2021,30,30,457,231,54166.5,83761.57,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
6,225245,2022,52,50,486,248,48726.07,86218.37,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
7,225245,2023,51,49,524,264,47012.74,90783.38,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
8,225245,2024,49,47,562,279,45299.41,95348.39,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
9,225245,2025,47,46,600,294,43586.09,99913.4,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
10,225245,2026,43,44,638,310,41872.76,104478.41,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
11,225245,2027,39,36,676,325,40159.43,109043.43,885,Инженер по автоматизированным системам управления производством,2511,25,Специалисты высшего уровня квалификации осуществля
12,225673,2016,10,5,462,178,27500.0,63559.61,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
13,225673,2017,40,30,485,198,41750.0,68961.98,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
14,225673,2018,5,5,501,231,40000.0,71552.73,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
15,225673,2019,5,5,530,256,20000.0,74645.45,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
16,225673,2020,15,15,549,267,27666.66,71961.88,907,Инженер по защите информации,2511,25,Специалисты высшего уровня квалификации осуществля
17,228243,2016,380,260,2566,1489,34736.88,59136.84,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
18,228243,2017,1560,925,2714,1671,33452.81,63180.13,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
19,228243,2018,785,465,3068,1886,39837.57,68198.45,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
20,228243,2019,375,275,3254,2078,39546.64,73579.8,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
21,228243,2020,850,750,3567,2245,48360.97,77521.18,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
22,228243,2021,220,200,3841,2561,53443.24,80989.88,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
23,228243,2022,228,218,4088,2650,56759.9,86144.58,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
24,228243,2023,178,159,4268,2857,61019.18,90645.9,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
25,228243,2024,133,104,4622,3065,65278.46,95147.22,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
26,228243,2025,130,98,4802,3272,69537.74,99648.55,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
27,228243,2026,127,84,5157,3480,73797.02,104149.81,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
28,228243,2027,122,81,5337,3688,78056.3,108651.19,1024,Инженер-программист,2513,25,Специалисты высшего уровня квалификации осуществля
29,243926,2018,10,5,480,40,100000.0,72000.65,1514,Научный сотрудник (в области информатики и вычислительной техники),2511,25,Специалисты высшего уровня квалификации осуществля
30,243926,2021,5,5,514,55,30000.0,74000.68,1514,Научный сотрудник (в области информатики и вычислительной техники),2511,25,Специалисты высшего уровня квалификации осуществля
31,253669,2020,6,6,8,5,29000.0,71594.02,1871,Оператор тележурналистского комплекса,3521,35,Специалисты среднего уровня квалификации выполняют
32,258573,2016,1600,1060,4009,2375,29091.72,72587.88,2042,Программист,2513,25,Специалисты высшего уровня квалификации осуществля
