,okz_subgroup,year,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
0,12,2016,31379.492435055665,3503,2125,32,11,18252.454545454544,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
1,13,2016,47367.23122529644,1012,549,10,3,26340.583333333332,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
2,11,2017,36558.73229070837,1087,638,516,342,15596.85149978355,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
3,12,2017,30488.699992879014,14043,8462,4232,1746,12245.221652928152,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
4,13,2017,45449.732880434785,3680,2082,944,538,14590.829952346085,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
5,14,2017,34128.84347826087,345,213,389,126,12279.325396825398,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
6,11,2018,42298.27771010962,821,446,3927,2310,14504.969053330586,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
7,12,2018,31692.42608302228,8841,5272,27173,14406,12698.162102445644,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
8,13,2018,46683.63728632479,1872,1091,8332,4308,15702.128518837637,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
9,14,2018,35513.089005235604,191,108,2783,981,12957.462957685784,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
10,11,2019,46855.3032128514,498,311,3332,2012,15694.150233784667,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
11,12,2019,32320.77606868181,5591,3756,27593,13734,13587.326126441227,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
12,13,2019,44014.87215411559,1142,766,7156,4138,16833.243938214986,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
13,14,2019,49000.59829059829,117,80,1686,834,13440.798463634115,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
14,11,2020,48065.16730038023,2367,2180,3588,2051,17333.6770830791,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
15,12,2020,39007.548746371074,18945,17380,27650,14067,14275.00845952721,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
16,13,2020,48372.015831134566,6443,5894,7699,4551,18207.735976861295,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
17,14,2020,40535.26680244399,1964,1818,1531,760,14515.122377869864,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
18,11,2021,55439.4629418472,877,824,3735,1605,18100.481348679048,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
19,12,2021,41496.83180894309,5904,5486,26317,13018,15186.628549296776,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
20,13,2021,55254.33899297424,1708,1592,8939,4180,19173.21039039818,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
21,14,2021,44376.55412371134,388,366,1122,622,14735.488769071051,1,"Руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий"
22,21,2016,37221.561390195784,6589,3873,12,11,18793.795454545456,2,Специалисты высшего уровня квалификаций
23,22,2016,28621.113333333335,1200,776,213,75,12738.434019149592,2,Специалисты высшего уровня квалификаций
24,23,2016,22355.741856677523,1228,757,10,9,9732.055555555555,2,Специалисты высшего уровня квалификаций
25,24,2016,25175.430790190734,3670,2317,3,3,11510.0,2,Специалисты высшего уровня квалификаций
26,26,2016,29110.004578025477,5024,2897,8,6,9584.5,2,Специалисты высшего уровня квалификаций
27,21,2017,36160.37506953657,23369,14098,2917,1696,12791.968654092985,2,Специалисты высшего уровня квалификаций
28,22,2017,27467.77686108979,5212,3495,5327,2567,10139.307006689973,2,Специалисты высшего уровня квалификаций
29,23,2017,21989.32828353023,7195,4490,2567,1468,8138.178748733049,2,Специалисты высшего уровня квалификаций
30,24,2017,25578.99557607232,15597,9952,870,460,11346.251438021207,2,Специалисты высшего уровня квалификаций
31,25,2017,31110.198184568835,1983,1261,364,221,13513.252495186513,2,Специалисты высшего уровня квалификаций
32,26,2017,28145.12444813795,19253,11659,1163,707,9107.715241657635,2,Специалисты высшего уровня квалификаций
33,21,2018,38357.864722197366,11177,6800,21223,11337,13729.435404916601,2,Специалисты высшего уровня квалификаций
34,22,2018,29109.77752117013,3897,2611,29430,14980,11283.071880387633,2,Специалисты высшего уровня квалификаций
35,23,2018,24295.07809556431,5839,3671,18287,11407,8811.219673223608,2,Специалисты высшего уровня квалификаций
36,24,2018,27231.355844468522,8307,5379,7213,4833,10826.91905011506,2,Специалисты высшего уровня квалификаций
37,25,2018,33814.01507092199,1128,683,2355,1396,14904.929540671865,2,Специалисты высшего уровня квалификаций
38,26,2018,28992.645249551846,10599,6508,8449,5717,10036.095905326107,2,Специалисты высшего уровня квалификаций
39,21,2019,39486.89152838428,5725,4023,17861,10540,14627.111996463058,2,Специалисты высшего уровня квалификаций
40,22,2019,29695.409032258063,2325,1746,24015,12620,12540.63539647996,2,Специалисты высшего уровня квалификаций
41,23,2019,25009.4585381842,3051,2160,17092,10748,9523.714545003379,2,Специалисты высшего уровня квалификаций
42,24,2019,28211.605038428694,4684,3506,6545,4437,11620.581286079263,2,Специалисты высшего уровня квалификаций
43,25,2019,35114.691379310345,580,427,2350,1349,16341.670348604654,2,Специалисты высшего уровня квалификаций
44,26,2019,30313.665278303673,5282,3719,7874,5351,10885.512355396906,2,Специалисты высшего уровня квалификаций
45,21,2020,42779.3500479693,15635,14195,20554,11275,15452.613366481843,2,Специалисты высшего уровня квалификаций
46,22,2020,31533.223451327434,6780,6248,26730,13254,13186.686716965716,2,Специалисты высшего уровня квалификаций
47,23,2020,27462.44450080311,11829,10902,16953,11435,10090.097456522435,2,Специалисты высшего уровня квалификаций
48,24,2020,32845.911143894686,17624,16154,6231,4119,12358.621666615787,2,Специалисты высшего уровня квалификаций
49,25,2020,39738.192444761225,2806,2581,2705,1458,16507.80015884556,2,Специалисты высшего уровня квалификаций
50,26,2020,36820.38319004646,18727,17008,7696,5387,11306.672817264027,2,Специалисты высшего уровня квалификаций
51,21,2021,46215.96058823529,5100,4710,17378,10445,16807.820442704626,2,Специалисты высшего уровня квалификаций
